task,dataset,model,device,runtime,precision,cell,metric,Q,chance,latency_ms,param_count,gmacs,source
LLM IFEval,IFEval,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | IFEval,IFEval,0.0611,0.0,249.0,0,,llm-perf-task
LLM BBH,BBH,distilbert/distilgpt2,1xA10,pytorch,bfloat16,llm-perf | 1xA10 | BBH,BBH,0.028352,0.0,267.0,0,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,distilbert/distilgpt2,1xA10,pytorch,bfloat16,llm-perf | 1xA10 | MATH Lvl 5,MATH Lvl 5,0.006042,0.0,267.0,0,,llm-perf-task
LLM GPQA,GPQA,distilbert/distilgpt2,1xA10,pytorch,bfloat16,llm-perf | 1xA10 | GPQA,GPQA,0.012304,0.0,267.0,0,,llm-perf-task
LLM MuSR,MuSR,distilbert/distilgpt2,1xA10,pytorch,bfloat16,llm-perf | 1xA10 | MuSR,MuSR,0.111578,0.0,267.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,distilbert/distilgpt2,1xA10,pytorch,bfloat16,llm-perf | 1xA10 | MMLU-PRO,MMLU-PRO,0.020759,0.0,267.0,0,,llm-perf-task
LLM IFEval,IFEval,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | IFEval,IFEval,0.0611,0.0,268.0,0,,llm-perf-task
LLM BBH,BBH,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | BBH,BBH,0.028352,0.0,268.0,0,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MATH Lvl 5,MATH Lvl 5,0.006042,0.0,268.0,0,,llm-perf-task
LLM GPQA,GPQA,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | GPQA,GPQA,0.012304,0.0,268.0,0,,llm-perf-task
LLM MuSR,MuSR,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MuSR,MuSR,0.111578,0.0,268.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MMLU-PRO,MMLU-PRO,0.020759,0.0,268.0,0,,llm-perf-task
LLM IFEval,IFEval,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | IFEval,IFEval,0.0611,0.0,271.0,0,,llm-perf-task
LLM BBH,BBH,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | BBH,BBH,0.028352,0.0,271.0,0,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MATH Lvl 5,MATH Lvl 5,0.006042,0.0,271.0,0,,llm-perf-task
LLM GPQA,GPQA,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | GPQA,GPQA,0.012304,0.0,271.0,0,,llm-perf-task
LLM MuSR,MuSR,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MuSR,MuSR,0.111578,0.0,271.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MMLU-PRO,MMLU-PRO,0.020759,0.0,271.0,0,,llm-perf-task
LLM IFEval,IFEval,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | IFEval,IFEval,0.0611,0.0,273.0,0,,llm-perf-task
LLM BBH,BBH,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | BBH,BBH,0.028352,0.0,273.0,0,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MATH Lvl 5,MATH Lvl 5,0.006042,0.0,273.0,0,,llm-perf-task
LLM GPQA,GPQA,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | GPQA,GPQA,0.012304,0.0,273.0,0,,llm-perf-task
LLM MuSR,MuSR,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MuSR,MuSR,0.111578,0.0,273.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MMLU-PRO,MMLU-PRO,0.020759,0.0,273.0,0,,llm-perf-task
LLM IFEval,IFEval,distilbert/distilgpt2,1xA10,pytorch,bfloat16,llm-perf | 1xA10 | IFEval,IFEval,0.0611,0.0,274.0,0,,llm-perf-task
LLM BBH,BBH,distilbert/distilgpt2,1xA10,pytorch,bfloat16,llm-perf | 1xA10 | BBH,BBH,0.028352,0.0,274.0,0,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,distilbert/distilgpt2,1xA10,pytorch,bfloat16,llm-perf | 1xA10 | MATH Lvl 5,MATH Lvl 5,0.006042,0.0,274.0,0,,llm-perf-task
LLM GPQA,GPQA,distilbert/distilgpt2,1xA10,pytorch,bfloat16,llm-perf | 1xA10 | GPQA,GPQA,0.012304,0.0,274.0,0,,llm-perf-task
LLM MuSR,MuSR,distilbert/distilgpt2,1xA10,pytorch,bfloat16,llm-perf | 1xA10 | MuSR,MuSR,0.111578,0.0,274.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,distilbert/distilgpt2,1xA10,pytorch,bfloat16,llm-perf | 1xA10 | MMLU-PRO,MMLU-PRO,0.020759,0.0,274.0,0,,llm-perf-task
LLM IFEval,IFEval,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | IFEval,IFEval,0.0611,0.0,275.0,0,,llm-perf-task
LLM BBH,BBH,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | BBH,BBH,0.028352,0.0,275.0,0,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MATH Lvl 5,MATH Lvl 5,0.006042,0.0,275.0,0,,llm-perf-task
LLM GPQA,GPQA,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | GPQA,GPQA,0.012304,0.0,275.0,0,,llm-perf-task
LLM MuSR,MuSR,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MuSR,MuSR,0.111578,0.0,275.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MMLU-PRO,MMLU-PRO,0.020759,0.0,275.0,0,,llm-perf-task
LLM IFEval,IFEval,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | IFEval,IFEval,0.0611,0.0,277.0,0,,llm-perf-task
LLM BBH,BBH,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | BBH,BBH,0.028352,0.0,277.0,0,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MATH Lvl 5,MATH Lvl 5,0.006042,0.0,277.0,0,,llm-perf-task
LLM GPQA,GPQA,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | GPQA,GPQA,0.012304,0.0,277.0,0,,llm-perf-task
LLM MuSR,MuSR,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MuSR,MuSR,0.111578,0.0,277.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MMLU-PRO,MMLU-PRO,0.020759,0.0,277.0,0,,llm-perf-task
LLM IFEval,IFEval,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | IFEval,IFEval,0.0611,0.0,278.0,0,,llm-perf-task
LLM BBH,BBH,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | BBH,BBH,0.028352,0.0,278.0,0,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MATH Lvl 5,MATH Lvl 5,0.006042,0.0,278.0,0,,llm-perf-task
LLM GPQA,GPQA,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | GPQA,GPQA,0.012304,0.0,278.0,0,,llm-perf-task
LLM MuSR,MuSR,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MuSR,MuSR,0.111578,0.0,278.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MMLU-PRO,MMLU-PRO,0.020759,0.0,278.0,0,,llm-perf-task
LLM IFEval,IFEval,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | IFEval,IFEval,0.0611,0.0,280.0,0,,llm-perf-task
LLM BBH,BBH,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | BBH,BBH,0.028352,0.0,280.0,0,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MATH Lvl 5,MATH Lvl 5,0.006042,0.0,280.0,0,,llm-perf-task
LLM GPQA,GPQA,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | GPQA,GPQA,0.012304,0.0,280.0,0,,llm-perf-task
LLM MuSR,MuSR,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MuSR,MuSR,0.111578,0.0,280.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MMLU-PRO,MMLU-PRO,0.020759,0.0,280.0,0,,llm-perf-task
LLM IFEval,IFEval,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | IFEval,IFEval,0.0611,0.0,285.0,0,,llm-perf-task
LLM BBH,BBH,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | BBH,BBH,0.028352,0.0,285.0,0,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MATH Lvl 5,MATH Lvl 5,0.006042,0.0,285.0,0,,llm-perf-task
LLM GPQA,GPQA,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | GPQA,GPQA,0.012304,0.0,285.0,0,,llm-perf-task
LLM MuSR,MuSR,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MuSR,MuSR,0.111578,0.0,285.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MMLU-PRO,MMLU-PRO,0.020759,0.0,285.0,0,,llm-perf-task
LLM IFEval,IFEval,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | IFEval,IFEval,0.0611,0.0,288.0,0,,llm-perf-task
LLM BBH,BBH,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | BBH,BBH,0.028352,0.0,288.0,0,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MATH Lvl 5,MATH Lvl 5,0.006042,0.0,288.0,0,,llm-perf-task
LLM GPQA,GPQA,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | GPQA,GPQA,0.012304,0.0,288.0,0,,llm-perf-task
LLM MuSR,MuSR,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MuSR,MuSR,0.111578,0.0,288.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MMLU-PRO,MMLU-PRO,0.020759,0.0,288.0,0,,llm-perf-task
LLM IFEval,IFEval,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | IFEval,IFEval,0.0611,0.0,303.0,0,,llm-perf-task
LLM BBH,BBH,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | BBH,BBH,0.028352,0.0,303.0,0,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MATH Lvl 5,MATH Lvl 5,0.006042,0.0,303.0,0,,llm-perf-task
LLM GPQA,GPQA,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | GPQA,GPQA,0.012304,0.0,303.0,0,,llm-perf-task
LLM MuSR,MuSR,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MuSR,MuSR,0.111578,0.0,303.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MMLU-PRO,MMLU-PRO,0.020759,0.0,303.0,0,,llm-perf-task
LLM IFEval,IFEval,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | IFEval,IFEval,0.0611,0.0,308.0,0,,llm-perf-task
LLM BBH,BBH,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | BBH,BBH,0.028352,0.0,308.0,0,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MATH Lvl 5,MATH Lvl 5,0.006042,0.0,308.0,0,,llm-perf-task
LLM GPQA,GPQA,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | GPQA,GPQA,0.012304,0.0,308.0,0,,llm-perf-task
LLM MuSR,MuSR,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MuSR,MuSR,0.111578,0.0,308.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MMLU-PRO,MMLU-PRO,0.020759,0.0,308.0,0,,llm-perf-task
LLM IFEval,IFEval,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | IFEval,IFEval,0.0611,0.0,313.0,0,,llm-perf-task
LLM BBH,BBH,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | BBH,BBH,0.028352,0.0,313.0,0,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MATH Lvl 5,MATH Lvl 5,0.006042,0.0,313.0,0,,llm-perf-task
LLM GPQA,GPQA,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | GPQA,GPQA,0.012304,0.0,313.0,0,,llm-perf-task
LLM MuSR,MuSR,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MuSR,MuSR,0.111578,0.0,313.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MMLU-PRO,MMLU-PRO,0.020759,0.0,313.0,0,,llm-perf-task
LLM IFEval,IFEval,distilbert/distilgpt2,1xA10,pytorch,float32,llm-perf | 1xA10 | IFEval,IFEval,0.0611,0.0,316.0,0,,llm-perf-task
LLM BBH,BBH,distilbert/distilgpt2,1xA10,pytorch,float32,llm-perf | 1xA10 | BBH,BBH,0.028352,0.0,316.0,0,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,distilbert/distilgpt2,1xA10,pytorch,float32,llm-perf | 1xA10 | MATH Lvl 5,MATH Lvl 5,0.006042,0.0,316.0,0,,llm-perf-task
LLM GPQA,GPQA,distilbert/distilgpt2,1xA10,pytorch,float32,llm-perf | 1xA10 | GPQA,GPQA,0.012304,0.0,316.0,0,,llm-perf-task
LLM MuSR,MuSR,distilbert/distilgpt2,1xA10,pytorch,float32,llm-perf | 1xA10 | MuSR,MuSR,0.111578,0.0,316.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,distilbert/distilgpt2,1xA10,pytorch,float32,llm-perf | 1xA10 | MMLU-PRO,MMLU-PRO,0.020759,0.0,316.0,0,,llm-perf-task
LLM IFEval,IFEval,distilbert/distilgpt2,1xA10,pytorch,bfloat16,llm-perf | 1xA10 | IFEval,IFEval,0.0611,0.0,323.0,0,,llm-perf-task
LLM BBH,BBH,distilbert/distilgpt2,1xA10,pytorch,bfloat16,llm-perf | 1xA10 | BBH,BBH,0.028352,0.0,323.0,0,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,distilbert/distilgpt2,1xA10,pytorch,bfloat16,llm-perf | 1xA10 | MATH Lvl 5,MATH Lvl 5,0.006042,0.0,323.0,0,,llm-perf-task
LLM GPQA,GPQA,distilbert/distilgpt2,1xA10,pytorch,bfloat16,llm-perf | 1xA10 | GPQA,GPQA,0.012304,0.0,323.0,0,,llm-perf-task
LLM MuSR,MuSR,distilbert/distilgpt2,1xA10,pytorch,bfloat16,llm-perf | 1xA10 | MuSR,MuSR,0.111578,0.0,323.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,distilbert/distilgpt2,1xA10,pytorch,bfloat16,llm-perf | 1xA10 | MMLU-PRO,MMLU-PRO,0.020759,0.0,323.0,0,,llm-perf-task
LLM IFEval,IFEval,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | IFEval,IFEval,0.0611,0.0,325.0,0,,llm-perf-task
LLM BBH,BBH,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | BBH,BBH,0.028352,0.0,325.0,0,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MATH Lvl 5,MATH Lvl 5,0.006042,0.0,325.0,0,,llm-perf-task
LLM GPQA,GPQA,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | GPQA,GPQA,0.012304,0.0,325.0,0,,llm-perf-task
LLM MuSR,MuSR,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MuSR,MuSR,0.111578,0.0,325.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MMLU-PRO,MMLU-PRO,0.020759,0.0,325.0,0,,llm-perf-task
LLM IFEval,IFEval,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | IFEval,IFEval,0.0611,0.0,328.0,0,,llm-perf-task
LLM BBH,BBH,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | BBH,BBH,0.028352,0.0,328.0,0,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MATH Lvl 5,MATH Lvl 5,0.006042,0.0,328.0,0,,llm-perf-task
LLM GPQA,GPQA,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | GPQA,GPQA,0.012304,0.0,328.0,0,,llm-perf-task
LLM MuSR,MuSR,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MuSR,MuSR,0.111578,0.0,328.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MMLU-PRO,MMLU-PRO,0.020759,0.0,328.0,0,,llm-perf-task
LLM IFEval,IFEval,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | IFEval,IFEval,0.0611,0.0,331.0,0,,llm-perf-task
LLM BBH,BBH,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | BBH,BBH,0.028352,0.0,331.0,0,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MATH Lvl 5,MATH Lvl 5,0.006042,0.0,331.0,0,,llm-perf-task
LLM GPQA,GPQA,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | GPQA,GPQA,0.012304,0.0,331.0,0,,llm-perf-task
LLM MuSR,MuSR,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MuSR,MuSR,0.111578,0.0,331.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,distilbert/distilgpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MMLU-PRO,MMLU-PRO,0.020759,0.0,331.0,0,,llm-perf-task
LLM ARC-Challenge,ARC-Challenge,openai-community/gpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | ARC-Challenge,ARC-Challenge,0.2201,0.25,407.0,0,,llm-perf-task
LLM HellaSwag,HellaSwag,openai-community/gpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | HellaSwag,HellaSwag,0.3153,0.25,407.0,0,,llm-perf-task
LLM MMLU,MMLU,openai-community/gpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MMLU,MMLU,0.2583,0.25,407.0,0,,llm-perf-task
LLM Winogrande,Winogrande,openai-community/gpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | Winogrande,Winogrande,0.5043,0.5,407.0,0,,llm-perf-task
LLM GSM8K,GSM8K,openai-community/gpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | GSM8K,GSM8K,0.0068,0.0,407.0,0,,llm-perf-task
LLM IFEval,IFEval,openai-community/gpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | IFEval,IFEval,0.178604,0.0,407.0,0,,llm-perf-task
LLM BBH,BBH,openai-community/gpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | BBH,BBH,0.027454,0.0,407.0,0,,llm-perf-task
LLM MATH Lvl 5,MATH Lvl 5,openai-community/gpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MATH Lvl 5,MATH Lvl 5,0.003776,0.0,407.0,0,,llm-perf-task
LLM GPQA,GPQA,openai-community/gpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | GPQA,GPQA,0.011186,0.0,407.0,0,,llm-perf-task
LLM MuSR,MuSR,openai-community/gpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MuSR,MuSR,0.146296,0.0,407.0,0,,llm-perf-task
LLM MMLU-PRO,MMLU-PRO,openai-community/gpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MMLU-PRO,MMLU-PRO,0.018035,0.0,407.0,0,,llm-perf-task
LLM ARC-Challenge,ARC-Challenge,openai-community/gpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | ARC-Challenge,ARC-Challenge,0.2201,0.25,413.0,0,,llm-perf-task
LLM HellaSwag,HellaSwag,openai-community/gpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | HellaSwag,HellaSwag,0.3153,0.25,413.0,0,,llm-perf-task
LLM MMLU,MMLU,openai-community/gpt2,1xA10,pytorch,float16,llm-perf | 1xA10 | MMLU,MMLU,0.2583,0.25,413.0,0,,llm-perf-task
